Gender,Age,Attendance,Study_Hours,Internal_Marks,Previous_Grade,Absences,Result
Male,17,73.3,12.4,48,A,7,Pass
Male,17,40,9.9,37.9,D,20,Fail
Male,23,83.7,6.8,42,A,4,Pass
Female,17,40,12.2,38,B,17,Pass
Female,20,97.8,11.9,50,A,1,Pass
Female,22,59.2,4.3,28,C,11,Fail
Male,24,40,7.3,25,D,20,Fail
Male,22,90.7,7.6,47,B,2,Pass
Female,19,77.5,5.7,37,C,7,Pass
Male,24,99.4,3.3,37,B,1,Pass
Female,24,43.4,9.4,29,C,17,Fail
Female,18,82.1,6.1,42,B,5,Pass
Male,21,44.9,13.8,37,B,16,Pass
Male,22,92.9,8.8,48,B,3,Pass
Male,18,96.8,12.2,50,A,2,Pass
Female,23,42.5,15.5,42,B,17,Pass
Female,18,64.5,5.5,42,A,2,Pass
Male,20,99.4,2.9,36,B,1,Pass
Female,20,52,13,38,C,13,Pass
Male,18,67.4,2.8,27,C,10,Fail
Female,24,92.5,5.5,43,A,2,Pass
Male,20,64.5,4.3,28,C,15,Fail
Female,21,41.8,7.9,30,C,17,Fail
Male,22,40,2.8,24,C,18,Fail
Male,18,74.7,11.5,48,A,7,Pass
Female,21,62.9,4.9,31,D,10,Fail
Male,24,41,10.7,31,C,18,Fail
Male,20,82,7.2,41,C,5,Pass
Male,21,93,15,50,A,3,Pass
Female,20,80.5,12,49,B,6,Pass
Female,21,67.2,2.6,30,D,10,Fail
Male,18,86.4,3.1,38,B,4,Pass
Male,22,76.8,4.9,34,C,7,Pass
Male,19,85.6,15.7,50,B,5,Pass
Male,21,88.6,4.2,35,C,3,Pass
Female,20,78.2,5.1,35,B,6,Pass
Female,22,92.5,15.1,50,B,3,Pass
Female,23,40.9,10.5,37.9,B,16,Fail
Male,22,66,8,38,B,10,Pass
Female,22,68.9,7.6,35,C,9,Pass
Female,23,98.4,9.7,48,B,0,Pass
Female,19,68.6,11.2,43,B,9,Pass
Female,20,82.2,13.3,49,B,4,Pass
Male,23,72.7,8.9,42,A,7,Pass
Female,17,89.2,9.8,48,B,3,Pass
Female,24,47.1,14.6,43,B,15,Pass
Female,24,66.4,3.1,29,C,9,Fail
Male,18,65.3,7.8,36,B,10,Pass
Male,23,59.9,8.7,36,C,11,Pass
Male,24,54.4,5.1,29,D,13,Fail
Male,23,96.7,10.3,50,B,0,Pass
Female,22,56.2,6.7,37.9,C,12,Fail
Male,22,95.2,5.1,42,A,2,Pass
Male,20,90,3.8,36,C,3,Pass
Male,19,90.1,15.5,50,B,3,Pass
Male,18,71.3,11.8,44,A,9,Pass
Female,22,40,3,23,F,20,Fail
Female,19,47.7,8.1,30,D,16,Fail
Female,20,91.2,13.6,50,B,2,Pass
Female,22,77.8,4.5,34,C,6,Pass
Male,20,54.4,3.2,28,D,13,Fail
Male,21,73.9,5.1,36,C,7,Pass
Female,22,70.5,11.8,43,A,8,Pass
Male,20,45.7,5,27,D,15,Fail
Female,19,40,6.2,24,C,17,Fail
Female,18,40,14.2,38,C,18,Pass
